object_id,object_type,name,path,domain_key,dependent_count,exposure_count,has_domain_mapping
OBJ0001,model,fct_adjustments,models/marts/core/fct_adjustments.sql,finance.revenue,2,0,true
OBJ0002,model,fct_remittances,models/marts/core/fct_remittances.sql,finance.revenue,15,3,true
OBJ0003,model,fct_throughput,models/marts/core/fct_throughput.sql,finance.revenue,11,1,true
OBJ0004,model,fct_writeoffs,models/marts/core/fct_writeoffs.sql,finance.revenue,0,0,true
OBJ0005,model,fct_charges,models/marts/core/fct_charges.sql,finance.revenue,1,1,true
OBJ0006,model,fct_diagnoses,models/marts/core/fct_diagnoses.sql,finance.revenue,1,0,true
OBJ0007,model,fct_facilities,models/marts/core/fct_facilities.sql,finance.revenue,1,1,true
OBJ0008,model,fct_eligibility,models/marts/core/fct_eligibility.sql,finance.revenue,15,0,true
OBJ0009,model,fct_providers,models/marts/core/fct_providers.sql,finance.revenue,11,3,true
OBJ0010,model,fct_discharges,models/marts/core/fct_discharges.sql,finance.revenue,11,5,true
OBJ0011,model,fct_service_lines,models/marts/core/fct_service_lines.sql,finance.revenue,4,0,true
OBJ0012,model,fct_exclusions,models/marts/core/fct_exclusions.sql,finance.revenue,0,0,true
OBJ0013,model,fct_encounters,models/marts/core/fct_encounters.sql,finance.revenue,1,1,true
OBJ0014,model,fct_appointments,models/marts/core/fct_appointments.sql,finance.revenue,6,0,true
OBJ0015,model,fct_authorizations,models/marts/core/fct_authorizations.sql,finance.revenue,4,4,true
OBJ0016,model,fct_measures,models/marts/core/fct_measures.sql,finance.revenue,11,0,true
OBJ0017,model,fct_aging,models/marts/core/fct_aging.sql,finance.revenue,6,1,true
OBJ0018,model,fct_denials,models/marts/core/fct_denials.sql,finance.revenue,1,1,true
OBJ0019,model,fct_coverage,models/marts/core/fct_coverage.sql,finance.revenue,26,3,true
OBJ0020,model,fct_census,models/marts/core/fct_census.sql,finance.revenue,1,1,true
OBJ0021,model,fct_balances,models/marts/core/fct_balances.sql,finance.revenue,11,1,true
OBJ0022,model,fct_patients,models/marts/core/fct_patients.sql,finance.revenue,6,1,true
OBJ0023,model,fct_procedures,models/marts/core/fct_procedures.sql,finance.revenue,1,1,true
OBJ0024,model,fct_departments,models/marts/core/fct_departments.sql,finance.revenue,26,0,true
OBJ0025,model,fct_cohorts,models/marts/core/fct_cohorts.sql,finance.revenue,0,0,true
OBJ0026,model,fct_payers,models/marts/core/fct_payers.sql,finance.revenue,0,0,true
OBJ0027,model,fct_admissions,models/marts/core/fct_admissions.sql,finance.revenue,1,0,true
OBJ0028,model,fct_referrals,models/marts/core/fct_referrals.sql,finance.revenue,0,0,true
OBJ0029,model,fct_numerators,models/marts/rcm/fct_numerators.sql,rcm.denials,4,0,true
OBJ0030,model,fct_claims,models/marts/rcm/fct_claims.sql,rcm.denials,3,1,true
OBJ0031,model,fct_adjustments,models/marts/rcm/fct_adjustments.sql,rcm.denials,2,0,true
OBJ0032,model,fct_remittances,models/marts/rcm/fct_remittances.sql,rcm.denials,11,2,true
OBJ0033,model,fct_throughput,models/marts/rcm/fct_throughput.sql,rcm.denials,1,1,true
OBJ0034,model,fct_writeoffs,models/marts/rcm/fct_writeoffs.sql,rcm.denials,34,1,true
OBJ0035,model,fct_charges,models/marts/rcm/fct_charges.sql,rcm.denials,19,5,true
OBJ0036,model,fct_diagnoses,models/marts/rcm/fct_diagnoses.sql,rcm.denials,0,0,true
OBJ0037,model,fct_facilities,models/marts/rcm/fct_facilities.sql,rcm.denials,15,1,true
OBJ0038,model,fct_eligibility,models/marts/rcm/fct_eligibility.sql,rcm.denials,3,3,true
OBJ0039,model,fct_providers,models/marts/rcm/fct_providers.sql,rcm.denials,1,0,true
OBJ0040,model,fct_discharges,models/marts/rcm/fct_discharges.sql,rcm.denials,8,0,true
OBJ0041,model,fct_service_lines,models/marts/rcm/fct_service_lines.sql,rcm.denials,19,0,true
OBJ0042,model,fct_exclusions,models/marts/rcm/fct_exclusions.sql,rcm.denials,8,2,true
OBJ0043,model,fct_encounters,models/marts/rcm/fct_encounters.sql,rcm.denials,11,1,true
OBJ0044,model,fct_appointments,models/marts/rcm/fct_appointments.sql,rcm.denials,0,0,true
OBJ0045,model,fct_authorizations,models/marts/rcm/fct_authorizations.sql,rcm.denials,8,0,true
OBJ0046,model,fct_measures,models/marts/rcm/fct_measures.sql,rcm.denials,3,3,true
OBJ0047,model,fct_aging,models/marts/rcm/fct_aging.sql,rcm.denials,34,0,true
OBJ0048,model,fct_denials,models/marts/rcm/fct_denials.sql,rcm.denials,3,1,true
OBJ0049,model,fct_coverage,models/marts/rcm/fct_coverage.sql,rcm.denials,34,5,true
OBJ0050,model,fct_census,models/marts/rcm/fct_census.sql,rcm.denials,3,1,true
OBJ0051,model,fct_balances,models/marts/rcm/fct_balances.sql,rcm.denials,4,2,true
OBJ0052,model,fct_patients,models/marts/rcm/fct_patients.sql,rcm.denials,11,0,true
OBJ0053,model,fct_procedures,models/marts/clinical/fct_procedures.sql,clinical.encounters,4,0,true
OBJ0054,model,fct_departments,models/marts/clinical/fct_departments.sql,clinical.encounters,19,2,true
OBJ0055,model,fct_cohorts,models/marts/clinical/fct_cohorts.sql,clinical.encounters,19,0,true
OBJ0056,model,fct_payers,models/marts/clinical/fct_payers.sql,clinical.encounters,6,2,true
OBJ0057,model,fct_admissions,models/marts/clinical/fct_admissions.sql,clinical.encounters,4,4,true
OBJ0058,model,fct_referrals,models/marts/clinical/fct_referrals.sql,clinical.encounters,11,0,true
OBJ0059,model,fct_numerators,models/marts/clinical/fct_numerators.sql,clinical.encounters,11,1,true
OBJ0060,model,fct_claims,models/marts/clinical/fct_claims.sql,clinical.encounters,3,0,true
OBJ0061,model,fct_adjustments,models/marts/clinical/fct_adjustments.sql,clinical.encounters,11,3,true
OBJ0062,model,fct_remittances,models/marts/clinical/fct_remittances.sql,clinical.encounters,11,1,true
OBJ0063,model,fct_throughput,models/marts/clinical/fct_throughput.sql,clinical.encounters,6,1,true
OBJ0064,model,fct_writeoffs,models/marts/clinical/fct_writeoffs.sql,clinical.encounters,6,5,true
OBJ0065,model,fct_charges,models/marts/clinical/fct_charges.sql,clinical.encounters,4,1,true
OBJ0066,model,fct_diagnoses,models/marts/clinical/fct_diagnoses.sql,clinical.encounters,1,0,true
OBJ0067,model,fct_facilities,models/marts/clinical/fct_facilities.sql,clinical.encounters,1,1,true
OBJ0068,model,fct_eligibility,models/marts/clinical/fct_eligibility.sql,clinical.encounters,3,3,true
OBJ0069,model,fct_providers,models/marts/clinical/fct_providers.sql,clinical.encounters,34,5,true
OBJ0070,model,fct_discharges,models/marts/clinical/fct_discharges.sql,clinical.encounters,3,0,true
OBJ0071,model,fct_service_lines,models/marts/clinical/fct_service_lines.sql,clinical.encounters,8,1,true
OBJ0072,model,fct_exclusions,models/marts/clinical/fct_exclusions.sql,clinical.encounters,0,0,true
OBJ0073,model,fct_encounters,models/marts/clinical/fct_encounters.sql,clinical.encounters,15,3,true
OBJ0074,model,fct_appointments,models/marts/clinical/fct_appointments.sql,clinical.encounters,15,0,true
OBJ0075,model,fct_authorizations,models/marts/quality/fct_authorizations.sql,clinical.quality,34,2,true
OBJ0076,model,fct_measures,models/marts/quality/fct_measures.sql,clinical.quality,6,0,true
OBJ0077,model,fct_aging,models/marts/quality/fct_aging.sql,clinical.quality,3,0,true
OBJ0078,model,fct_denials,models/marts/quality/fct_denials.sql,clinical.quality,3,0,true
OBJ0079,model,fct_coverage,models/marts/quality/fct_coverage.sql,clinical.quality,3,0,true
OBJ0080,model,fct_census,models/marts/quality/fct_census.sql,clinical.quality,15,1,true
OBJ0081,model,fct_balances,models/marts/quality/fct_balances.sql,clinical.quality,1,1,true
OBJ0082,model,fct_patients,models/marts/quality/fct_patients.sql,clinical.quality,19,0,true
OBJ0083,model,fct_procedures,models/marts/quality/fct_procedures.sql,clinical.quality,8,0,true
OBJ0084,model,fct_departments,models/marts/quality/fct_departments.sql,clinical.quality,34,5,true
OBJ0085,model,fct_cohorts,models/marts/quality/fct_cohorts.sql,clinical.quality,11,2,true
OBJ0086,model,fct_payers,models/marts/quality/fct_payers.sql,clinical.quality,3,0,true
OBJ0087,model,fct_admissions,models/marts/quality/fct_admissions.sql,clinical.quality,3,0,true
OBJ0088,model,fct_referrals,models/marts/quality/fct_referrals.sql,clinical.quality,1,1,true
OBJ0089,model,stg_numerators,models/input_layer/stg_numerators.sql,platform.pipelines,6,0,true
OBJ0090,model,stg_claims,models/input_layer/stg_claims.sql,platform.pipelines,3,1,true
OBJ0091,model,stg_adjustments,models/input_layer/stg_adjustments.sql,platform.pipelines,3,2,true
OBJ0092,model,stg_remittances,models/input_layer/stg_remittances.sql,platform.pipelines,19,3,true
OBJ0093,model,stg_throughput,models/input_layer/stg_throughput.sql,platform.pipelines,4,1,true
OBJ0094,model,stg_writeoffs,models/input_layer/stg_writeoffs.sql,platform.pipelines,4,3,true
OBJ0095,model,stg_charges,models/input_layer/stg_charges.sql,platform.pipelines,11,3,true
OBJ0096,model,stg_diagnoses,models/input_layer/stg_diagnoses.sql,platform.pipelines,2,0,true
OBJ0097,model,stg_facilities,models/input_layer/stg_facilities.sql,platform.pipelines,3,2,true
OBJ0098,model,stg_eligibility,models/input_layer/stg_eligibility.sql,platform.pipelines,34,0,true
OBJ0099,model,stg_providers,models/input_layer/stg_providers.sql,platform.pipelines,11,1,true
OBJ0100,model,stg_discharges,models/input_layer/stg_discharges.sql,platform.pipelines,4,4,true
OBJ0101,model,stg_service_lines,models/input_layer/stg_service_lines.sql,platform.pipelines,6,0,true
OBJ0102,model,stg_exclusions,models/input_layer/stg_exclusions.sql,platform.pipelines,3,3,true
OBJ0103,model,stg_encounters,models/input_layer/stg_encounters.sql,platform.pipelines,3,0,true
OBJ0104,model,stg_appointments,models/input_layer/stg_appointments.sql,platform.pipelines,6,5,true
OBJ0105,model,stg_authorizations,models/input_layer/stg_authorizations.sql,platform.pipelines,34,0,true
OBJ0106,model,stg_measures,models/input_layer/stg_measures.sql,platform.pipelines,34,5,true
OBJ0107,model,stg_aging,models/input_layer/stg_aging.sql,platform.pipelines,3,1,true
OBJ0108,model,stg_denials,models/input_layer/stg_denials.sql,platform.pipelines,6,1,true
OBJ0109,model,stg_coverage,models/input_layer/stg_coverage.sql,platform.pipelines,6,0,true
OBJ0110,model,stg_census,models/input_layer/stg_census.sql,platform.pipelines,2,0,true
OBJ0111,model,stg_balances,models/input_layer/stg_balances.sql,platform.pipelines,1,1,true
OBJ0112,model,stg_patients,models/input_layer/stg_patients.sql,platform.pipelines,15,3,true
OBJ0113,model,stg_procedures,models/input_layer/stg_procedures.sql,platform.pipelines,4,3,true
OBJ0114,model,stg_departments,models/input_layer/stg_departments.sql,platform.pipelines,0,0,true
OBJ0115,model,stg_cohorts,models/input_layer/stg_cohorts.sql,platform.pipelines,2,1,true
OBJ0116,model,stg_payers,models/input_layer/stg_payers.sql,platform.pipelines,0,0,true
OBJ0117,model,stg_admissions,models/input_layer/stg_admissions.sql,platform.pipelines,4,0,true
