impact_id,tap_id,tap_type_id,tap_class,month,impact_type,magnitude,observed_at,est_minutes_saved
IMP000001,TAP000001,denial_reason_classification,tactical,2026-02,rework_avoided,6,2026-02-08T16:04:00,14
IMP000002,TAP000002,denial_reason_classification,tactical,2026-02,downstream_models_corrected,4,2026-02-03T10:06:00,14
IMP000003,TAP000003,denial_reason_classification,tactical,2026-02,rework_avoided,2,2026-02-12T14:52:00,14
IMP000004,TAP000004,denial_reason_classification,tactical,2026-02,rework_avoided,1,2026-02-22T12:12:00,14
IMP000005,TAP000005,denial_reason_classification,tactical,2026-02,downstream_models_corrected,3,2026-02-02T16:23:00,14
IMP000006,TAP000006,denial_reason_classification,tactical,2026-02,rework_avoided,3,2026-02-04T14:54:00,14
IMP000007,TAP000010,denial_reason_classification,tactical,2026-02,downstream_models_corrected,2,2026-02-14T13:22:00,14
IMP000008,TAP000011,denial_reason_classification,tactical,2026-02,rework_avoided,1,2026-02-27T17:58:00,14
IMP000009,TAP000012,denial_reason_classification,tactical,2026-02,rework_avoided,3,2026-02-01T15:06:00,14
IMP000010,TAP000013,denial_reason_classification,tactical,2026-02,rework_avoided,6,2026-02-26T18:48:00,14
IMP000011,TAP000014,denial_reason_classification,tactical,2026-02,rework_avoided,3,2026-02-16T15:20:00,14
IMP000012,TAP000015,denial_reason_classification,tactical,2026-02,downstream_models_corrected,3,2026-02-28T16:02:00,14
IMP000013,TAP000016,denial_reason_classification,tactical,2026-02,rework_avoided,2,2026-02-04T13:24:00,14
IMP000014,TAP000018,denial_reason_classification,tactical,2026-02,rework_avoided,2,2026-02-17T12:02:00,14
IMP000015,TAP000020,denial_reason_classification,tactical,2026-02,rework_avoided,2,2026-02-18T19:48:00,14
IMP000016,TAP000022,denial_reason_classification,tactical,2026-02,rework_avoided,1,2026-02-07T17:42:00,14
IMP000017,TAP000023,denial_reason_classification,tactical,2026-02,rework_avoided,2,2026-02-06T15:36:00,14
IMP000018,TAP000025,denial_reason_classification,tactical,2026-02,inconsistency_prevented,3,2026-02-05T15:13:00,14
IMP000019,TAP000027,denial_reason_classification,tactical,2026-02,rework_avoided,6,2026-02-19T10:00:00,14
IMP000020,TAP000029,denial_reason_classification,tactical,2026-02,rework_avoided,1,2026-02-05T17:03:00,14
IMP000021,TAP000030,denial_reason_classification,tactical,2026-02,rework_avoided,3,2026-02-15T16:56:00,14
IMP000022,TAP000031,denial_reason_classification,tactical,2026-02,inconsistency_prevented,5,2026-02-12T13:03:00,14
IMP000023,TAP000032,denial_reason_classification,tactical,2026-02,rework_avoided,1,2026-02-22T17:28:00,14
IMP000024,TAP000036,denial_reason_classification,tactical,2026-02,downstream_models_corrected,2,2026-02-05T18:05:00,14
IMP000025,TAP000037,denial_reason_classification,tactical,2026-02,rework_avoided,6,2026-02-06T09:56:00,14
IMP000026,TAP000038,denial_reason_classification,tactical,2026-02,rework_avoided,1,2026-02-26T18:10:00,14
IMP000027,TAP000039,denial_reason_classification,tactical,2026-02,rework_avoided,1,2026-02-25T19:08:00,14
IMP000028,TAP000040,denial_reason_classification,tactical,2026-02,rework_avoided,5,2026-02-05T13:45:00,14
IMP000029,TAP000047,charge_capture_variance,tactical,2026-02,inconsistency_prevented,2,2026-02-14T19:07:00,11
IMP000030,TAP000049,charge_capture_variance,tactical,2026-02,inconsistency_prevented,1,2026-02-03T14:23:00,11
IMP000031,TAP000050,charge_capture_variance,tactical,2026-02,rework_avoided,3,2026-02-17T14:07:00,11
IMP000032,TAP000058,charge_capture_variance,tactical,2026-02,rework_avoided,6,2026-02-19T14:13:00,11
IMP000033,TAP000059,charge_capture_variance,tactical,2026-02,rework_avoided,6,2026-02-20T03:46:00,11
IMP000034,TAP000061,charge_capture_variance,tactical,2026-02,downstream_models_corrected,2,2026-02-24T23:07:00,11
IMP000035,TAP000065,charge_capture_variance,tactical,2026-02,rework_avoided,4,2026-02-09T13:51:00,11
IMP000036,TAP000066,charge_capture_variance,tactical,2026-02,rework_avoided,2,2026-02-07T22:09:00,11
IMP000037,TAP000070,charge_capture_variance,tactical,2026-02,inconsistency_prevented,6,2026-02-18T19:17:00,11
IMP000038,TAP000072,charge_capture_variance,tactical,2026-02,rework_avoided,2,2026-02-15T22:38:00,11
IMP000039,TAP000073,charge_capture_variance,tactical,2026-02,rework_avoided,2,2026-02-07T10:50:00,11
IMP000040,TAP000074,charge_capture_variance,tactical,2026-02,inconsistency_prevented,2,2026-03-01T10:31:00,11
IMP000041,TAP000085,charge_capture_variance,tactical,2026-02,inconsistency_prevented,2,2026-02-04T00:21:00,11
IMP000042,TAP000089,charge_capture_variance,tactical,2026-02,rework_avoided,6,2026-02-28T17:21:00,11
IMP000043,TAP000090,charge_capture_variance,tactical,2026-02,rework_avoided,1,2026-02-25T19:24:00,11
IMP000044,TAP000093,denial_reason_classification,tactical,2026-03,downstream_models_corrected,4,2026-03-06T09:05:00,14
IMP000045,TAP000096,denial_reason_classification,tactical,2026-03,rework_avoided,5,2026-03-13T19:25:00,14
IMP000046,TAP000097,denial_reason_classification,tactical,2026-03,rework_avoided,1,2026-03-15T17:50:00,14
IMP000047,TAP000098,denial_reason_classification,tactical,2026-03,rework_avoided,5,2026-03-20T10:13:00,14
IMP000048,TAP000100,denial_reason_classification,tactical,2026-03,downstream_models_corrected,1,2026-03-10T13:36:00,14
IMP000049,TAP000102,denial_reason_classification,tactical,2026-03,rework_avoided,2,2026-03-15T18:02:00,14
IMP000050,TAP000103,denial_reason_classification,tactical,2026-03,rework_avoided,4,2026-03-24T18:04:00,14
IMP000051,TAP000104,denial_reason_classification,tactical,2026-03,rework_avoided,1,2026-03-20T15:19:00,14
IMP000052,TAP000105,denial_reason_classification,tactical,2026-03,rework_avoided,3,2026-03-09T15:46:00,14
IMP000053,TAP000106,denial_reason_classification,tactical,2026-03,inconsistency_prevented,1,2026-03-08T10:18:00,14
IMP000054,TAP000107,denial_reason_classification,tactical,2026-03,rework_avoided,5,2026-03-17T15:07:00,14
IMP000055,TAP000108,denial_reason_classification,tactical,2026-03,inconsistency_prevented,3,2026-03-04T13:15:00,14
IMP000056,TAP000109,denial_reason_classification,tactical,2026-03,rework_avoided,1,2026-03-05T17:48:00,14
IMP000057,TAP000111,denial_reason_classification,tactical,2026-03,rework_avoided,3,2026-03-28T16:49:00,14
IMP000058,TAP000115,denial_reason_classification,tactical,2026-03,rework_avoided,4,2026-03-25T16:07:00,14
IMP000059,TAP000117,denial_reason_classification,tactical,2026-03,rework_avoided,4,2026-03-13T19:22:00,14
IMP000060,TAP000124,charge_capture_variance,tactical,2026-03,rework_avoided,5,2026-03-08T21:26:00,11
IMP000061,TAP000130,charge_capture_variance,tactical,2026-03,rework_avoided,2,2026-03-12T23:31:00,11
IMP000062,TAP000131,charge_capture_variance,tactical,2026-03,rework_avoided,3,2026-03-03T09:32:00,11
IMP000063,TAP000133,charge_capture_variance,tactical,2026-03,downstream_models_corrected,4,2026-03-16T19:09:00,11
IMP000064,TAP000135,charge_capture_variance,tactical,2026-03,rework_avoided,5,2026-03-19T02:23:00,11
IMP000065,TAP000137,charge_capture_variance,tactical,2026-03,rework_avoided,6,2026-03-26T14:18:00,11
IMP000066,TAP000138,charge_capture_variance,tactical,2026-03,rework_avoided,4,2026-03-22T15:41:00,11
IMP000067,TAP000144,charge_capture_variance,tactical,2026-03,rework_avoided,1,2026-03-06T20:59:00,11
IMP000068,TAP000159,charge_capture_variance,tactical,2026-03,rework_avoided,2,2026-03-17T18:14:00,11
IMP000069,TAP000161,encounter_type_mapping,tactical,2026-03,rework_avoided,1,2026-03-16T13:55:00,26
IMP000070,TAP000162,encounter_type_mapping,tactical,2026-03,rework_avoided,1,2026-03-16T18:46:00,26
IMP000071,TAP000164,encounter_type_mapping,tactical,2026-03,downstream_models_corrected,4,2026-03-30T12:59:00,26
IMP000072,TAP000166,encounter_type_mapping,tactical,2026-03,inconsistency_prevented,5,2026-03-06T14:36:00,26
IMP000073,TAP000167,encounter_type_mapping,tactical,2026-03,rework_avoided,2,2026-03-16T16:01:00,26
IMP000074,TAP000168,encounter_type_mapping,tactical,2026-03,rework_avoided,3,2026-03-06T20:26:00,26
IMP000075,TAP000169,encounter_type_mapping,tactical,2026-03,rework_avoided,4,2026-03-23T19:36:00,26
IMP000076,TAP000170,encounter_type_mapping,tactical,2026-03,inconsistency_prevented,1,2026-03-17T10:03:00,26
IMP000077,TAP000171,encounter_type_mapping,tactical,2026-03,rework_avoided,1,2026-03-20T13:51:00,26
IMP000078,TAP000173,encounter_type_mapping,tactical,2026-03,rework_avoided,4,2026-03-19T18:37:00,26
IMP000079,TAP000174,encounter_type_mapping,tactical,2026-03,rework_avoided,3,2026-03-01T18:44:00,26
IMP000080,TAP000175,encounter_type_mapping,tactical,2026-03,rework_avoided,4,2026-03-14T12:16:00,26
IMP000081,TAP000177,encounter_type_mapping,tactical,2026-03,rework_avoided,6,2026-03-22T17:17:00,26
IMP000082,TAP000178,encounter_type_mapping,tactical,2026-03,inconsistency_prevented,1,2026-03-22T17:34:00,26
IMP000083,TAP000180,denial_reason_classification,tactical,2026-04,rework_avoided,6,2026-04-02T09:09:00,14
IMP000084,TAP000181,denial_reason_classification,tactical,2026-04,rework_avoided,4,2026-04-04T16:29:00,14
IMP000085,TAP000182,denial_reason_classification,tactical,2026-04,rework_avoided,2,2026-04-08T15:40:00,14
IMP000086,TAP000183,denial_reason_classification,tactical,2026-04,rework_avoided,4,2026-04-29T13:00:00,14
IMP000087,TAP000185,denial_reason_classification,tactical,2026-04,inconsistency_prevented,6,2026-04-02T09:55:00,14
IMP000088,TAP000186,denial_reason_classification,tactical,2026-04,rework_avoided,2,2026-04-09T13:54:00,14
IMP000089,TAP000191,denial_reason_classification,tactical,2026-04,rework_avoided,4,2026-04-08T15:59:00,14
IMP000090,TAP000192,denial_reason_classification,tactical,2026-04,downstream_models_corrected,1,2026-04-10T16:26:00,14
IMP000091,TAP000193,denial_reason_classification,tactical,2026-04,inconsistency_prevented,2,2026-04-17T13:32:00,14
IMP000092,TAP000194,denial_reason_classification,tactical,2026-04,downstream_models_corrected,5,2026-04-27T14:42:00,14
IMP000093,TAP000196,encounter_type_mapping,tactical,2026-04,rework_avoided,4,2026-04-27T08:58:00,26
IMP000094,TAP000197,encounter_type_mapping,tactical,2026-04,rework_avoided,4,2026-04-15T15:35:00,26
IMP000095,TAP000198,encounter_type_mapping,tactical,2026-04,rework_avoided,3,2026-04-25T15:42:00,26
IMP000096,TAP000200,encounter_type_mapping,tactical,2026-04,rework_avoided,3,2026-04-21T12:52:00,26
IMP000097,TAP000204,phi_column_classification,tactical,2026-04,inconsistency_prevented,4,2026-04-10T06:14:00,34
IMP000098,TAP000205,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-20T03:16:00,34
IMP000099,TAP000207,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-30T22:39:00,34
IMP000100,TAP000210,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-21T03:03:00,34
IMP000101,TAP000211,phi_column_classification,tactical,2026-04,inconsistency_prevented,1,2026-04-09T12:09:00,34
IMP000102,TAP000213,phi_column_classification,tactical,2026-04,rework_avoided,5,2026-04-03T11:37:00,34
IMP000103,TAP000214,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-23T08:06:00,34
IMP000104,TAP000220,phi_column_classification,tactical,2026-04,rework_avoided,4,2026-04-14T16:45:00,34
IMP000105,TAP000221,phi_column_classification,tactical,2026-04,rework_avoided,4,2026-04-17T13:33:00,34
